run,type,module,name,attrname,attrvalue,value
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:948:mean,,,0.26886366999043
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:948:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:947:mean,,,0.26893601446753
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:947:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:946:mean,,,0.26799354042683
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:946:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:945:mean,,,0.28789494938075
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:945:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:944:mean,,,0.28192814562732
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:944:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:943:mean,,,0.26757491766868
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:943:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:942:mean,,,0.26929186095475
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:942:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:941:mean,,,0.2661446814145
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:941:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:940:mean,,,0.26161828441765
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:940:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:939:mean,,,0.2677452898441
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:939:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:938:mean,,,0.27574542862316
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:938:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:937:mean,,,0.25741907836579
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:937:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:936:mean,,,0.26832758528625
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:936:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:935:mean,,,0.26290008850286
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:935:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:934:mean,,,0.26684938162586
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:934:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:933:mean,,,0.25237374410197
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:933:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:932:mean,,,0.26554542470108
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:932:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:931:mean,,,0.2685323711666
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:931:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:930:mean,,,0.26417669190517
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:930:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:929:mean,,,0.26397869994736
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:929:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:928:mean,,,0.26309175024349
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:928:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:927:mean,,,0.254491143868
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:927:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:926:mean,,,0.25121232137251
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:926:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:925:mean,,,0.25061159501617
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:925:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:924:mean,,,0.26158953239828
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:924:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:923:mean,,,0.25675641724202
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:923:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:922:mean,,,0.24461347230335
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:922:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:921:mean,,,0.2535400816851
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:921:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:920:mean,,,0.24106172839474
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:920:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:919:mean,,,0.24908949775945
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:919:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:918:mean,,,0.24915912963277
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:918:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:917:mean,,,0.24453986847508
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:917:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:916:mean,,,0.25433887640859
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:916:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:915:mean,,,0.25078812719251
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:915:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:914:mean,,,0.23436383375115
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:914:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:913:mean,,,0.25437851204747
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:913:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:912:mean,,,0.24444390501988
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:912:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:911:mean,,,0.24572845154983
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:911:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:910:mean,,,0.24092600145452
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:910:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:909:mean,,,0.24360538581996
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:909:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:908:mean,,,0.24107988660148
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:908:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:907:mean,,,0.24461111420798
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:907:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:906:mean,,,0.23891409987948
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:906:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:905:mean,,,0.23988709820906
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:905:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:904:mean,,,0.24560533647419
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:904:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:903:mean,,,0.2407935356277
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:903:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:902:mean,,,0.23251293409537
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:902:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:901:mean,,,0.23311222570701
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:901:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:900:mean,,,0.24144076210822
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:900:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:899:mean,,,0.22136248570645
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:899:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:898:mean,,,0.22673248174633
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:898:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:897:mean,,,0.2318660606964
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:897:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:896:mean,,,0.22850209726916
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:896:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:895:mean,,,0.23574319646553
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:895:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:894:mean,,,0.2246337569748
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:894:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:893:mean,,,0.22836198611931
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:893:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:892:mean,,,0.22328779174674
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:892:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:891:mean,,,0.23708814704275
